VERSION 10100 -- Tue Jan 15 19:34:14 2002 UTC -- created by alex on q from file /net/q/u/alex/kepler/sgrid/s12.4/s12.4#presn
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
   1:    3.9783999999987725E+30   4.7218153171650488E+06  -4.4067051667793393E+06   9.0217927657269535E+09   7.5304965408294258E+09   7.7926479462632002E+27   2.4310353607365166E+18   6.5348225868046850E-01   0.0000000000000000E+00   5.3716140267774378E+01   4.3340281458867969E-01       radiative       NSE   4.9738456274972163E-04   2.1083204229310793E-06                      ---   1.6531472690282925E-03                      ---                      ---   0.0000000000000000E+00                      ---   7.5364148982766238E-08   2.2646803603722789E-09   6.1301608491079543E-06   3.2060956392507832E-06   2.2975307191412708E-05   1.9274497415067236E-03   1.9488258501820460E-01                      ---   6.4283348497647899E-06   2.5773633732508049E-11   2.3625587587405898E-04   8.0076223876909147E-01
   2:    6.3158975347978555E+30   5.5177967143266490E+06  -5.1491790640388429E+06   8.8972841476421490E+09   7.5365183483498678E+09   7.6587077242085906E+27   2.4222007375166735E+18   6.5609753801011628E-01   0.0000000000000000E+00   5.3643725375747181E+01   4.3362030184099926E-01       radiative       NSE   4.9767919490497248E-04   2.2346048644255151E-06                      ---   1.7161432222607984E-03                      ---                      ---   0.0000000000000000E+00                      ---   8.0668258619260415E-08   2.5647483317776526E-09   6.5557122390330171E-06   3.4442004291240833E-06   2.3902263339188234E-05   1.9580875729827011E-03   1.9443336971019359E-01                      ---   7.2516004398835661E-06   3.0954405275977015E-11   2.5991489829935144E-04   8.0109131984640314E-01
   3:    8.4807634320644246E+30   6.0964235675191442E+06  -5.6887808657766432E+06   8.8215165580018501E+09   7.5402456166537628E+09   7.5774220919046690E+27   2.4168609132927427E+18   6.5771736189186758E-01   0.0000000000000000E+00   5.3598457259567574E+01   4.3375288750699598E-01       radiative       NSE   4.9796827387333894E-04   2.3155446644251351E-06                      ---   1.7558994016229378E-03                      ---                      ---   0.0000000000000000E+00                      ---   8.4080121185435257E-08   2.7662356251628628E-09   6.8288378226258294E-06   3.5972475058509436E-06   2.4482324345905389E-05   1.9767088601967634E-03   1.9416315978229776E-01                      ---   7.8003369823237320E-06   3.4590830902337540E-11   2.7533816953984627E-04   8.0128579976889447E-01
   4:    1.1641206410207618E+31   6.7889627962272782E+06  -6.3344508200472742E+06   8.7405919159777927E+09   7.5442760964680977E+09   7.4907905284319061E+27   2.4110358429818772E+18   6.5947142615573295E-01   0.0000000000000000E+00   5.3549101477713762E+01   4.3389471311647126E-01       radiative       NSE   4.9836497326655952E-04   2.4055968936189765E-06                      ---   1.7995931580820300E-03                      ---                      ---   0.0000000000000000E+00                      ---   8.7886476906992600E-08   2.9987537161750211E-09   7.1330130536171211E-06   3.7678831181685417E-06   2.5115534727867528E-05   1.9965748834105202E-03   1.9387662762239738E-01                      ---   8.4297760742251731E-06   3.8936070106369788E-11   2.9272237465966769E-04   8.0148915894561545E-01
   5:    1.7224509473871882E+31   7.7611929312485084E+06  -7.2405502192508280E+06   8.6216641526534843E+09   7.5502940748904486E+09   7.3638285474637889E+27   2.4024051110223662E+18   6.6209527643920485E-01   0.0000000000000000E+00   5.3474634905808230E+01   4.3410351737713654E-01       radiative       NSE   4.9911558973150306E-04   2.5450738612780410E-06                      ---   1.8662146586345576E-03                      ---                      ---   0.0000000000000000E+00                      ---   9.3801620914684999E-08   3.3760206399818492E-09   7.6046067628975641E-06   4.0327837027451062E-06   2.6072457462091215E-05   2.0257276868851258E-03   1.9345885464783535E-01                      ---   9.4427831658461142E-06   4.6306061145890924E-11   3.2007665787179624E-04   8.0178019935053590E-01
   6:    2.3779786812821422E+31   8.6716743297450822E+06  -8.0887188049712479E+06   8.4781139345176935E+09   7.5577107743004808E+09   7.2111468035107563E+27   2.3918742630972334E+18   6.6533754742179074E-01   0.0000000000000000E+00   5.3381593173116705E+01   4.3435615596222638E-01       radiative       NSE   5.0028884800826538E-04   2.7255632905986670E-06                      ---   1.9506611339819193E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.0148788021717555E-07   3.8946568977254015E-09   8.2154546754239946E-06   4.3764382300670064E-06   2.7270917245145531E-05   2.0608522386775111E-03   1.9295849180004088E-01                      ---   1.0819769088799236E-05   5.7037654112280657E-11   3.5617202516205720E-04   8.0212000236053427E-01
   7:    2.7283246386501047E+31   9.0936350522998329E+06  -8.4816677055566907E+06   8.3723620055079365E+09   7.5632805320663834E+09   7.0990684532371536E+27   2.3840352070974515E+18   6.6778015708272342E-01   0.0000000000000000E+00   5.3310778792787268E+01   4.3454268662492179E-01       radiative       NSE   5.0134000790685775E-04   2.8676632895143593E-06                      ---   2.0158518974398429E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.0756155009686231E-07   4.3267460812068963E-09   8.6966457573161616E-06   4.6475039094822274E-06   2.8185306543362229E-05   2.0866807333235109E-03   1.9259163649505834E-01                      ---   1.1954210104253104E-05   6.6469072106632820E-11   3.8508584800173357E-04   8.0236292249833263E-01
   8:    3.2966191382757754E+31   9.7111877557953782E+06  -9.0565905818330050E+06   8.2804695512848616E+09   7.5681873582373028E+09   7.0019579007168707E+27   2.3771663765896069E+18   6.6994046710485045E-01   0.0000000000000000E+00   5.3247664494681096E+01   4.3470509234838617E-01       radiative       NSE   5.0237549940000540E-04   2.9978568396728571E-06                      ---   2.0746462640944185E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.1314161396240128E-07   4.7408013686259067E-09   9.1376546721607301E-06   4.8961728547745293E-06   2.9002166713890595E-05   2.1090839854717822E-03   1.9227317707045760E-01                      ---   1.3031357176599086E-05   7.5897132821147044E-11   4.1193171866654287E-04   8.0256958192489525E-01
   9:    3.9783999999996953E+31   1.0370140581646385E+07  -9.6698223734588623E+06   8.1639414917071238E+09   7.5745010761436367E+09   6.8791897090161628E+27   2.3683780750173660E+18   6.7273189861823135E-01   0.0000000000000000E+00   5.3165443833429890E+01   4.3491143401487481E-01       radiative       NSE   5.0385598352755084E-04   3.1725272129446630E-06                      ---   2.1522183956413183E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.2064829365391588E-07   5.3231491983019334E-09   9.7293356016645050E-06   5.2300976596610391E-06   3.0068814987439328E-05   2.1374396325134783E-03   1.9186925853961706E-01                      ---   1.4530916443658845E-05   8.9761070128383025E-11   4.4842502039139882E-04   8.0282592276320508E-01
  10:    4.5834259230150124E+31   1.0898742574974218E+07  -1.0161565713067383E+07   8.0522367009030991E+09   7.5806482785231514E+09   6.7619030817546436E+27   2.3599913970377042E+18   6.7546365261631403E-01   0.0000000000000000E+00   5.3084264163663796E+01   4.3510965769110815E-01       radiative       NSE   5.0545077445462994E-04   3.3506926572795004E-06                      ---   2.2299031549166009E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.2832639213077890E-07   5.9483505679290916E-09   1.0332712248040425E-05   5.5709144530713686E-06   3.1124696441163496E-05   2.1645633892333127E-03   1.9148121425893916E-01                      ---   1.6122301722577620E-05   1.0537862920313214E-10   4.8615491356750879E-04   8.0306605430562739E-01
