VERSION 10114 -- Fri Sep 14 09:42:15 2012 UTC -- created by alex on w.spa.umn.edu from file ~/kepler/s15s7b2/s15s7b2#presn -- time 4.28225106184563688E+14 s -- RUN UUID: 00000000-0000-0000-0000-000000000000 -- DUMP UUID: 00000000-0000-0000-0000-000000000000
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
     1   4.0000000000027507E+30   4.7106507604893073E+06  -4.6008961093741935E+06   9.1354229547476463E+09   8.0959116011101894E+09   7.7848660929893182E+27   2.4283509392827407E+18   7.3100393931415319E-01   4.7573542163559990E-14   4.3577518286742517E+01   4.2226714818558531E-01  semiconvective       NSE   4.6672871944426356E-03   1.1756285783585892E-06                      ---   1.6142368105023293E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.7629816496713359E-08   1.8087186732786713E-11   7.2691535102236588E-07   1.9098571704018533E-07   7.0488005605984064E-06   9.5522376773831666E-04   3.1586896197460229E-01                      ---   6.9346053420056886E-09   2.5407786706867796E-15   5.1347388106807387E-07   6.7688460124064920E-01
     2   8.1919817479114890E+30   6.0005360290994979E+06  -5.8595128432301525E+06   8.9732325791730824E+09   8.0915705656426907E+09   7.6085412193432347E+27   2.4155943298130145E+18   7.3247840222631644E-01   6.0035167642672952E-20   4.3721504959401571E+01   4.2243763842544224E-01  semiconvective       NSE   4.5874828839430988E-03   1.2325406394558757E-06                      ---   1.6642011236145597E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.8850409528092877E-08   2.0803922283025893E-11   7.8152259767721107E-07   2.0862225245925360E-07   7.4202247206448686E-06   9.8825227453369418E-04   3.1281831098234819E-01                      ---   8.2020924821556902E-09   3.1956533530762147E-15   5.9546722891685162E-07   6.7993147839915180E-01
     3   1.3437119856302270E+31   7.1000160369760329E+06  -6.9316024092521695E+06   8.8271813927943115E+09   8.0873712994075632E+09   7.4505432508931338E+27   2.4039575468489073E+18   7.3385211463814426E-01   6.1769112415539737E-16   4.3850557493306177E+01   4.2259356171834500E-01  semiconvective       NSE   4.5158518753959818E-03   1.2857803170473723E-06                      ---   1.7102124949811750E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.0008869980262580E-08   2.3583379675039114E-11   8.3383560949331481E-07   2.2577884132049639E-07   7.7671222573162841E-06   1.0185765282672800E-03   3.1011101132040786E-01                      ---   9.5364651489959537E-09   3.9258148989697245E-15   6.8023033977312118E-07   6.8263351633130709E-01
     4   1.9999999999999918E+31   8.1359688494705306E+06  -7.9410161814470803E+06   8.6735084174459991E+09   8.0826548969669609E+09   7.2851101455754063E+27   2.3915568451269356E+18   7.3534671519862482E-01   1.0351116139554831E-17   4.3985673259304086E+01   4.2276018350523858E-01  semiconvective       NSE   4.4407246757875475E-03   1.3439241644333392E-06                      ---   1.7597048766497816E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.1291286029910008E-08   2.6894317881341970E-11   8.9229207466042329E-07   2.4523668717173269E-07   8.1451721859744400E-06   1.0510805673608294E-03   3.0730275104934213E-01                      ---   1.1171273004863771E-08   4.8717139905432890E-15   7.8225899375677303E-07   6.8543428804900763E-01
     5   2.9804155054353599E+31   9.3380991797201782E+06  -9.1113188280741517E+06   8.4886006232808590E+09   8.0765967079244308E+09   7.0871715363188839E+27   2.3764229701274629E+18   7.3721897489279753E-01   1.6452905699378634E-17   4.4146873899596216E+01   4.2296421483090579E-01  semiconvective       NSE   4.3508419768395114E-03   1.4169700801427791E-06                      ---   1.8208391558652405E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.2925897989123488E-08   3.1479027422747956E-11   9.6760508621702772E-07   2.7072326080860862E-07   8.6184865404857256E-06   1.0910138234790302E-03   3.0397944061342308E-01                      ---   1.3508132562410183E-08   6.3119421318169172E-15   9.2521306823713770E-07   6.8874561920844635E-01
     6   3.9999999999999836E+31   1.0347086477238994E+07  -1.0092656164012089E+07   8.2933207340784855E+09   8.0696766602180662E+09   6.8794734193123361E+27   2.3601702588241295E+18   7.3927661665140920E-01   1.3437900139215195E-13   4.4316637948843656E+01   4.2318457223806216E-01  semiconvective       NSE   4.2559408716592731E-03   1.4978585306041012E-06                      ---   1.8872413536870545E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.4765309831269459E-08   3.7147870611413607E-11   1.0534751557494915E-06   3.0033167656637777E-07   9.1406971312521925E-06   1.1341695456780338E-03   3.0052819907675626E-01                      ---   1.6505053644772261E-08   8.2931500559599083E-15   1.1045348023995503E-06   6.9218130079288975E-01
     7   5.1247830327510127E+31   1.1289972335938668E+07  -1.1008847180215267E+07   8.1056620160996599E+09   8.0626006547435827E+09   6.6812126876087495E+27   2.3442919347525043E+18   7.4134993855132070E-01   0.0000000000000000E+00   4.4477799505906567E+01   4.2340092202891771E-01      convective       NSE   4.1654168779075131E-03   1.5796405386277888E-06                      ---   1.9531241869338038E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.6652551530209243E-08   4.3536068798880823E-11   1.1427132146466734E-06   3.3166784254262388E-07   9.6655669153605216E-06   1.1766209388411498E-03   2.9727339437061379E-01                      ---   2.0006477359548218E-08   1.0776797826140337E-14   1.3094052441277996E-06   6.9541735736762034E-01
     8   6.4249587773193965E+31   1.2234597609879060E+07  -1.1925828235031897E+07   7.9125393463954163E+09   8.0548226816193695E+09   6.4785621287197949E+27   2.3276678410919291E+18   7.4357665190328481E-01   9.9145511704300213E-23   4.4642651385249415E+01   4.2362902624227822E-01      convective       NSE   4.0724118666115782E-03   1.6681395953968044E-06                      ---   2.0230670023996793E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.8724286255333766E-08   5.1246382090015606E-11   1.2420379054649318E-06   3.6718997100452627E-07   1.0230174743103046E-05   1.2213311781501428E-03   2.9397935448242790E-01                      ---   2.4391148026471938E-08   1.4112303553334092E-14   1.5603408709068510E-06   6.9868870341140743E-01
     9   7.9999999999999673E+31   1.3237241427736768E+07  -1.2898072064773543E+07   7.7028337210233727E+09   8.0458356806132927E+09   6.2601331776080126E+27   2.3092874947099674E+18   7.4611248626082816E-01   6.7755958839800565E-24   4.4819922870385348E+01   4.2388336406001653E-01  semiconvective       NSE   3.9717845475569849E-03   1.7697183493701709E-06                      ---   2.1017482776943741E-03                      ---                      ---   0.0000000000000000E+00                      ---   3.1136112664987347E-08   6.1172655877521501E-11   1.3593930582618624E-06   4.0996795245097098E-07   1.0873183058765204E-05   1.2710997706986767E-03   2.9046563977292233E-01                      ---   3.0260931545354940E-08   1.8921911326001474E-14   1.8884482450685610E-06   7.0217335393133073E-01
    10   9.9999999999999591E+31   1.4356797642203614E+07  -1.3982312967504675E+07   7.4638934910547981E+09   8.0349434408164711E+09   6.0133612998282551E+27   2.2879196412622638E+18   7.4916622838980063E-01   5.0762644570449874E-27   4.5019021983934579E+01   4.2418227674673875E-01      convective       NSE   3.8577608912121366E-03   1.8932256311923701E-06                      ---   2.1952982763055184E-03                      ---                      ---   0.0000000000000000E+00                      ---   3.4111866597728081E-08   7.4879652852936713E-11   1.5066291237383277E-06   4.6477028356214805E-07   1.1646803216667123E-05   1.3294312096116883E-03   2.8654019700349315E-01                      ---   3.8727956906297977E-08   2.6462278534128412E-14   2.3493570029868772E-06   7.0605936675053371E-01
