VERSION 10100 -- Tue Jan 15 19:35:26 2002 UTC -- created by alex on q from file /net/q/u/alex/kepler/sgrid/s25/s25#presn
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
   1:    3.9783999999941608E+30   6.7812179759271471E+06  -4.7736929901869148E+06   3.0457673242303429E+09   7.8208395704083452E+09   2.0078233509331682E+27   1.8370771933480860E+18   9.0485282382876997E-01   0.0000000000000000E+00   4.5315828543131126E+01   4.4421508651207381E-01       radiative       NSE   7.6340049800030290E-04   4.9065072914812892E-05                      ---   1.3561221198899923E-02                      ---                      ---   0.0000000000000000E+00                      ---   1.8215532453649346E-06   6.7901546178876709E-07   1.3495298932656775E-04   7.3468288772109559E-05   1.1882432179642172E-04   3.1268374028266717E-03   1.6847251744654471E-01                      ---   9.5819293376418670E-04   7.2359434827714156E-08   1.0054246078124404E-02   8.0268414186713410E-01
   2:    8.1241080714017765E+30   8.6274756989641003E+06  -6.0729324517911077E+06   2.9960668280200057E+09   7.8206953959902277E+09   1.9673593347064374E+27   1.8298690138626834E+18   9.0936528599887545E-01   0.0000000000000000E+00   4.5160265802180739E+01   4.4435690967263153E-01       radiative       NSE   7.6441681792175633E-04   5.0768226015302623E-05                      ---   1.3868513373322431E-02                      ---                      ---   0.0000000000000000E+00                      ---   1.8752489037169150E-06   7.2052587393820648E-07   1.3911747855018054E-04   7.5683106717102129E-05   1.2034846620435734E-04   3.1288174686634421E-03   1.6790224426666872E-01                      ---   1.0086661191924728E-03   7.8674970751498502E-08   1.0435079632484679E-02   8.0250309071934511E-01
   3:    1.3337059990097895E+31   1.0208472677995678E+07  -7.1852273307658732E+06   2.9512713140868907E+09   7.8203481330483074E+09   1.9310296433203764E+27   1.8232977214175368E+18   9.1349922227658276E-01   0.0000000000000000E+00   4.5018864151748915E+01   4.4448656023277883E-01       radiative       NSE   7.6508976674917874E-04   5.2354379431870296E-05                      ---   1.4150952606417964E-02                      ---                      ---   0.0000000000000000E+00                      ---   1.9245966060155667E-06   7.6023180294458149E-07   1.4297663237592472E-04   7.7733541908545540E-05   1.2171730289115630E-04   3.1300102755039542E-03   1.6737398788198671E-01                      ---   1.0567511742354911E-03   8.4877376058324611E-08   1.0793318134990074E-02   8.0233173931135138E-01
   4:    1.9891999999998474E+31   1.1702742129141977E+07  -8.2362261979733407E+06   2.9039174819619927E+09   7.8197517347803564E+09   1.8927724306975913E+27   1.8162721307900047E+18   9.1794067395458101E-01   0.0000000000000000E+00   4.4868132417574508E+01   4.4462560165552473E-01       radiative       NSE   7.6553966480692260E-04   5.4086175168265211E-05                      ---   1.4455330944718101E-02                      ---                      ---   0.0000000000000000E+00                      ---   1.9777593477311334E-06   8.0474389807249342E-07   1.4716968830133506E-04   7.9959279837354567E-05   1.2315892799971803E-04   3.1306438999133207E-03   1.6680013687426831E-01                      ---   1.1104559393808394E-03   9.2014887007311278E-08   1.1188462200600716E-02   8.0214156147070514E-01
   5:    2.9837999999997711E+31   1.3457019933709607E+07  -9.4696917398731709E+06   2.8463213342827754E+09   7.8186858228925753E+09   1.8464466622543062E+27   1.8076138228327721E+18   9.2344312357772806E-01   0.0000000000000000E+00   4.4683205728815118E+01   4.4479767089722066E-01       radiative       NSE   7.6568503551571439E-04   5.6271255689462208E-05                      ---   1.4833556180224156E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.0437669539005134E-06   8.6267057768524903E-07   1.5243174504591029E-04   8.2749598060125068E-05   1.2490203084565224E-04   3.1304798998526128E-03   1.6607909446456637E-01                      ---   1.1800910918024295E-03   1.0159243576798425E-07   1.1693594201284315E-02   8.0189748949584394E-01
   6:    3.9783999999996949E+31   1.4871622909975106E+07  -1.0463964003842771E+07   2.7864525290319247E+09   7.8171685949239597E+09   1.7985367797102956E+27   1.7984777296375956E+18   9.2928403142567229E-01   0.0000000000000000E+00   4.4489098998711356E+01   4.4498021313052399E-01       radiative       NSE   7.6534163891764601E-04   5.8639142789720476E-05                      ---   1.5236326408510444E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.1139714186886474E-06   9.2769324014536119E-07   1.5809993853117815E-04   8.5751899138678455E-05   1.2670105114493318E-04   3.1291804206974210E-03   1.6530101779934597E-01                      ---   1.2579668674396901E-03   1.1272572279491666E-07   1.2249523612792204E-02   8.0162762122208042E-01
   7:    4.9729999999996186E+31   1.6080314304090986E+07  -1.1313217625211403E+07   2.7326674134078918E+09   7.8154274016591349E+09   1.7557102724137724E+27   1.7901466733204782E+18   9.3463946588855273E-01   0.0000000000000000E+00   4.4313177876077766E+01   4.4514766525127419E-01       radiative       NSE   7.6456285346629958E-04   6.0854304557197519E-05                      ---   1.5606609469781298E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.1784076013313886E-06   9.9068781914338199E-07   1.6337266852013571E-04   8.8541851758908093E-05   1.2830367993678027E-04   3.1269659631721933E-03   1.6457511260849242E-01                      ---   1.3331896629657110E-03   1.2389275301960049E-07   1.2778224770904571E-02   8.0137026692226820E-01
   8:    5.9675999999995423E+31   1.7148524186652426E+07  -1.2063518367758214E+07   2.6832558804647188E+09   7.8134979923100700E+09   1.7165482165240523E+27   1.7823867631329226E+18   9.3965236104089467E-01   0.0000000000000000E+00   4.4150300678096592E+01   4.4530460594014243E-01       radiative       NSE   7.6342737737734553E-04   6.2966539721281969E-05                      ---   1.5953982037114033E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.2387489720125408E-06   1.0527435527571718E-06   1.6837521239161817E-04   9.1186468391963416E-05   1.2976353298255568E-04   3.1240148500159626E-03   1.6388414986020317E-01                      ---   1.4071227893758011E-03   1.3525497983098192E-07   1.3290496072467420E-02   8.0112036098101125E-01
   9:    7.4595000000003502E+31   1.8565746137162708E+07  -1.3058565667170733E+07   2.6256722218774757E+09   7.8108205689147053E+09   1.6711316827710625E+27   1.7732084333764403E+18   9.4560794267621462E-01   0.0000000000000000E+00   4.3959149850575201E+01   4.4549156816915730E-01       radiative       NSE   7.6154269669993476E-04   6.5525183208970395E-05                      ---   1.6367434591509539E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.3104051257065604E-06   1.1305946605027021E-06   1.7440498370032708E-04   9.4371435755437425E-05   1.3144637146584145E-04   3.1193804181250348E-03   1.6304718171861726E-01                      ---   1.4997223403928829E-03   1.5001348295866666E-07   1.3922614345445368E-02   8.0081202694136100E-01
  10:    8.9514000000002358E+31   1.9822860945851319E+07  -1.3940798241053194E+07   2.5624475022981019E+09   7.8073247410383863E+09   1.6215470500189687E+27   1.7629581153721869E+18   9.5229423568904636E-01   0.0000000000000000E+00   4.3747637597028508E+01   4.4570231044598929E-01       radiative       NSE   7.5872898378534558E-04   6.8462282213497047E-05                      ---   1.6832377873612740E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.3907560253775743E-06   1.2236732016599097E-06   1.8128924819465803E-04   9.8004521203895248E-05   1.3326984207393978E-04   3.1127367023430748E-03   1.6208570360140095E-01                      ---   1.6102860976198910E-03   1.6838575821172232E-07   1.4664570013029064E-02   8.0044999539190609E-01
